         58      27      345.12  187.795 14      499
         59      29      319.92  205.991 15      499
         60      32      281.54  198.083 8       499
         61      32      319.48  196.612 9       499
         62      30      315.82  195.31  36      499
         63      41      277.88  192.473 12      499
         64      33      278.74  199.413 7       499
         65      32      266.82  193.04  7       499
         66      27      285.58  202.069 9       499
         67      23      316.82  213.556 8       499
         68      37      256.54  201.81  38      499
         69      35      320.96  201.191 59      499
         70      29      330.94  199.128 56      499
         71      31      306.54  211.16  8       499
         72      33      262.6   208.497 8       499
         73      30      270.62  207.47  8       499
         74      35      232.36  199.879 27      499
         75      38      222.5   186.477 9       499
         76      25      380.1   181.247 26      499
         77      27      325.44  204.664 39      499
         78      36      326.98  198.881 18      499
         79      33      298.18  201.822 40      499
         80      28      335     201.057 9       499
         81      24      327.4   206.919 16      499
         82      24      340.84  201.529 11      499
         83      28      345.5   202.511 14      499
         84      27      325.08  199.678 40      499
         85      31      329.2   199.854 8       499
         86      26      338.04  192.707 9       499
         87      30      327.02  200.009 14      499
         88      26      308.08  206.795 9       499
         89      28      333.16  196.996 9       499
         90      28      342.2   191.256 15      499
         91      19      391.52  181.969 25      499
         92      32      349.34  192.97  7       499
         93      33      333.98  202.132 8       499
         94      37      366.88  189.456 9       499
         95      29      341.46  204.539 8       499
         96      30      381.92  179.81  15      499
         97      33      277.76  208.639 8       499
         98      39      252.36  200.013 30      499
         99      19      334.8   192.817 43      499
         100     30      360.9   183.543 27      499
